593	536	111	926	68	127
886	450	346	554	354	143
227	752	112	79	62	854
230	193	956	393	37	475
337	374	307	294	213	984
209	73	53	736	982	65
466	807	73	996	60	268
32	230	236	151	431	663
811	815	400	611	367	854
333	437	144	18	811	44
136	436	934	338	532	138
544	59	534	154	860	204
310	396	574	367	298	881
194	76	321	367	914	735
17	255	175	213	405	804
245	615	459	798	385	232
230	564	287	498	333	853
178	250	81	322	764	550
282	231	430	287	478	856
162	984	357	648	60	146
111	190	326	216	667	891
313	447	905	130	414	468
855	483	935	544	727	989
126	260	35	241	845	618
220	518	683	696	679	278
229	149	325	190	115	873
175	376	417	207	771	233
216	488	589	945	30	257
111	322	104	64	876	328
132	213	593	326	688	193
262	360	184	272	836	866
957	222	82	305	543	580
150	219	314	771	268	611
327	356	90	321	406	822
655	545	991	555	381	418
877	40	30	331	771	234
329	184	228	855	323	457
519	968	125	772	289	130
240	108	717	613	232	97
44	648	231	304	372	177
687	149	243	197	515	328
802	473	586	46	293	640
242	188	943	853	235	252
835	673	561	352	161	634
665	325	258	242	134	272
605	537	25	888	308	9
930	708	585	17	43	155
832	142	425	100	278	89
289	699	958	60	33	3
100	172	412	209	457	930
111	610	537	359	765	233
708	390	208	197	932	496
479	909	345	119	142	404
170	33	295	963	381	658
709	141	767	542	77	273
370	635	659	156	114	399
65	48	40	894	516	348
38	197	509	425	958	259
968	348	647	98	166	557
139	981	785	140	668	258
674	726	199	582	388	995
138	304	75	285	520	63
643	482	878	291	372	267
792	180	696	8	155	172
800	41	863	131	184	135
745	160	930	166	662	125
857	282	181	203	345	537
289	641	499	465	510	331
441	80	688	392	192	22
364	208	211	716	511	419
286	280	911	229	453	161
813	307	185	469	482	91
556	262	277	937	41	425
170	662	395	956	66	247
779	111	718	153	281	268
29	326	375	197	933	60
836	625	573	465	537	664
204	328	586	64	60	883
558	9	561	67	285	21
204	312	19	855	57	136
501	105	276	232	633	185
766	166	170	934	243	220
450	72	812	930	702	271
887	655	193	6	829	281
485	723	50	535	91	137
81	93	646	933	651	76
701	952	219	72	88	153
346	510	442	738	239	231
60	253	608	611	240	998
773	327	254	217	209	574
500	547	95	818	237	118
900	176	555	541	238	91
201	740	147	294	223	29
914	338	477	557	624	905
412	107	222	498	36	103
170	41	109	394	882	928
68	793	183	175	838	968
468	483	347	599	262	108
980	265	82	677	953	289
328	384	81	468	416	1000
62	90	280	403	539	31
553	286	159	941	277	327
40	449	205	485	496	961
248	535	236	990	453	38
346	480	133	812	441	254
292	472	121	310	604	937
228	81	994	960	248	202
23	493	360	139	751	78
892	9	552	190	1	585
83	240	234	516	933	231
246	69	985	768	12	168
278	844	231	751	250	86
146	585	918	692	977	307
543	938	35	11	125	343
463	493	478	941	284	163
271	86	226	665	868	331
968	502	234	321	91	511
712	211	781	629	35	104
221	357	562	284	987	455
196	469	170	465	156	494
39	242	128	388	244	717
182	123	499	845	180	317
294	351	49	105	915	50
144	158	244	848	30	24
382	268	564	12	87	140
354	839	174	145	716	321
702	308	388	971	131	369
226	281	867	686	352	197
973	8	281	99	938	229
405	55	189	372	54	573
92	540	869	80	37	730
991	661	248	195	430	144
878	371	298	661	224	228
494	72	720	209	952	282
171	375	460	4	150	881
816	266	94	697	1	282
76	223	342	963	488	513
697	93	144	471	844	31
318	567	293	197	929	384
481	479	512	127	305	98
789	265	875	65	162	346
237	240	104	105	850	632
198	737	393	213	906	80
115	630	873	347	805	775
47	413	117	631	26	15
510	950	894	154	563	116
204	11	531	159	158	836
331	658	114	538	92	139
506	464	263	342	244	788
962	552	72	296	270	311
51	555	188	995	61	914
957	72	417	35	247	767
917	212	423	323	656	112
118	334	778	417	33	475
321	875	185	284	561	431
458	133	104	317	598	188
710	326	100	909	2	312
353	136	482	102	168	42
648	980	180	929	759	433
336	916	568	416	50	766
99	47	345	758	499	158
299	75	351	328	97	699
587	89	255	179	437	107
60	731	809	86	465	88
14	84	50	826	875	192
707	7	3	147	340	784
609	138	42	802	684	652
613	100	873	368	213	718
113	10	968	849	186	189
608	978	864	337	928	671
