49;56;35;57;52;93;91;95;66;80;31;97;98;22;92
80;33;76;37;58;46;79;85;96;60;57;53;51;61;84
84;70;51;62;57;78;76;25;28;64;33;59;28;99;78
83;32;73;94;32;26;92;39;92;45;73;85;28;51;26
87;75;61;83;26;48;15;59;34;37;18;66;90;26;12
77;79;84;48;16;79;47;36;75;57;24;41;98;62;42
52;49;71;66;58;95;86;27;67;73;38;46;39;59;74
55;29;72;32;44;56;33;42;83;53;11;36;100;90;27
39;28;71;59;100;83;68;59;80;79;39;73;91;75;13
46;76;10;30;10;51;76;85;28;10;12;35;100;94;77
41;63;30;99;88;13;70;67;71;66;22;62;73;49;81
43;90;67;95;46;30;71;47;64;76;95;70;59;31;58
22;54;72;87;15;48;92;44;79;66;73;41;42;19;62
50;16;13;82;83;12;37;99;82;98;93;19;46;62;56
51;81;99;67;78;45;82;73;73;83;93;94;53;19;68
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
