23;69;20;60;18;61;18;0;24;80;34;46;47;77;84
78;97;45;72;72;68;78;27;88;40;70;72;21;82;12
55;19;0;88;77;29;35;42;87;83;0;0;18;56;65
84;83;0;68;71;58;73;16;88;40;28;72;35;47;58
62;84;23;37;81;36;46;86;94;16;38;37;98;99;35
77;92;62;64;47;0;51;27;71;26;20;40;24;60;25
16;19;84;63;93;0;87;91;0;11;47;32;30;92;84
70;29;41;48;58;44;92;94;22;72;95;95;72;35;34
26;51;16;10;24;43;15;89;0;12;29;57;44;98;76
69;94;37;24;36;0;0;0;10;90;74;24;13;39;89
0;90;87;93;10;51;14;49;64;86;0;30;12;57;75
61;90;81;61;37;84;63;35;16;94;0;77;53;83;18
22;16;0;91;17;52;15;31;65;61;85;53;63;88;91
61;73;0;94;55;84;43;91;47;74;21;55;10;27;77
77;79;91;53;27;94;82;19;38;57;42;31;19;45;31
