38;36;50;68;33;68;61;49;19;35;96;26;75;20
33;88;25;13;60;40;25;50;51;73;75;63;52;52
24;79;94;69;25;67;22;77;1;15;22;2;47;40
99;32;57;68;48;79;95;22;45;72;17;13;25;97
70;32;39;13;21;84;95;28;60;38;87;30;92;3
41;26;68;93;4;81;78;24;77;48;29;47;19;54
77;16;63;29;34;31;36;3;20;34;71;41;11;20
74;19;81;58;47;63;93;25;39;45;31;8;19;42
69;37;91;57;38;85;24;85;34;45;27;15;12;97
67;53;72;69;74;54;7;23;56;38;41;4;83;33
73;65;40;17;69;14;73;30;34;43;46;25;43;85
57;30;88;65;34;93;50;88;100;81;99;91;43;50
56;30;14;70;93;14;66;75;95;74;45;82;89;81
18;51;72;78;91;25;96;83;72;16;71;86;62;65
