1	6	194;373;
2	3	24;77;
3	3	0
4	7	326;390;315
5	4	187;242;
6	5	3;210;
7	8	0
8	1	489;248;355
9	7	3;230;476
10	10	136;458;394
11	9	325;85;153
12	1	0
13	11	0
14	3	0
15	8	12;49;
16	6	467;288;
17	7	0
18	1	498;328;148
19	2	0
20	9	44;56;202
21	3	71;109;
22	9	19;476;27
23	7	360;358;
24	6	0
25	4	24;7;
26	11	487;144;327
27	7	0
28	10	486;323;498
29	11	122;304;457
30	8	93;294;
31	4	288;491;
32	8	0
33	1	0
34	4	33;32;
35	11	314;312;
36	3	0
37	1	147;393;251
38	10	369;225;
39	6	0
40	2	380;271;281
41	7	0
42	7	409;22;
43	5	211;362;203
44	9	490;222;
45	1	487;436;
46	8	0
47	4	0
48	4	0
49	2	0
50	2	296;299;290
51	8	0
52	9	0
53	7	200;71;
54	10	455;316;
55	10	422;433;
56	5	0
57	4	0
58	1	0
59	1	0
60	7	0
61	2	0
62	6	164;277;50
63	6	202;403;
64	4	443;312;
65	4	0
66	3	0
67	11	455;65;269
68	11	305;65;175
69	1	80;134;
70	9	476;110;
71	10	449;247;470
72	7	0
73	1	0
74	5	73;13;
75	3	0
76	8	0
77	3	72;65;56
78	6	41;170;
79	4	271;124;352
80	7	0
81	5	0
82	10	0
83	8	312;28;
84	6	397;469;
85	1	433;107;73
86	10	60;194;
87	5	0
88	2	99;339;
89	8	114;492;
90	3	92;307;
91	6	89;97;
92	8	0
93	5	263;29;
94	3	189;444;
95	6	467;225;255
96	9	0
97	11	96;81;
98	3	403;72;
99	10	0
100	2	140;399;
101	3	71;414;
102	2	92;144;347
103	5	94;357;
104	9	99;482;73
105	2	106;315;156
106	2	392;419;26
107	4	302;430;
108	6	205;477;81
109	10	195;13;71
110	7	0
111	4	214;339;336
112	3	0
113	5	0
114	9	0
115	3	0
116	5	435;377;167
117	2	255;257;
118	7	108;272;487
119	10	115;298;186
120	11	378;167;
121	1	468;389;
122	5	102;123;
123	2	0
124	2	0
125	1	375;451;165
126	3	0
127	11	217;33;
128	10	144;77;
129	8	38;89;
130	6	151;141;145
131	4	396;3;428
132	4	178;131;
133	8	311;175;
134	3	0
135	8	0
136	5	358;20;393
137	7	240;175;
138	10	0
139	2	0
140	9	419;492;390
141	3	153;79;
142	10	0
143	8	0
144	11	345;72;103
145	1	0
146	6	273;110;
147	6	0
148	4	296;241;2
149	3	279;430;
150	6	145;182;145
151	4	305;453;371
152	7	372;310;406
153	1	0
154	3	127;179;320
155	2	417;195;63
156	11	0
157	6	0
158	10	19;335;438
159	1	0
