10000 4000
2755	7308
1566	2760
4504	7355
2815	7987
1356	9672
4151	9580
5712	9812
8982	8993
2448	8065
2306	6346
933	5684
6860	9942
8980	9356
8118	8671
2824	3044
2486	5559
1230	2590
5742	8684
1827	6997
3050	9663
3252	7254
9740	9808
8531	9733
6226	8385
2394	4307
8180	9701
1962	2677
9253	9322
1128	3174
9458	9590
7927	9766
8268	9555
1754	5626
8800	9044
3754	8184
6617	7016
8567	9389
3242	3508
9308	9656
4686	9823
633	9856
7592	9923
1830	7402
7265	7774
5407	6452
191	2233
965	1666
1998	2081
1261	7053
1652	3630
5627	8441
4219	5864
7983	9002
4789	7578
5816	7374
1649	7112
8760	9035
9448	9668
5417	9900
898	6310
9834	9920
7090	7375
3965	8408
3153	9438
3620	4953
7578	8555
2825	5612
3337	8908
5184	7548
7567	9613
2952	9578
1856	9159
510	9572
8088	8419
1015	7855
8113	9963
823	7324
8759	9518
1117	2515
3390	5057
2975	6841
5426	5576
8449	9916
6311	7242
8912	9226
2131	8970
5535	5916
9348	9489
7310	8370
386	3666
5623	8348
276	6058
5922	9855
7005	7610
3220	7757
9242	9973
2308	5467
1116	2918
5055	8480
3534	6277
8398	9840
9243	9788
6395	9761
576	1134
9009	9883
8918	9856
3562	8500
1233	3830
8791	9816
2238	4386
3278	5801
4436	6933
6961	7038
2191	7914
1824	2988
4139	6142
4556	6616
3529	5964
8939	9081
517	9713
283	6183
2074	8542
1458	3896
2566	8963
3839	9236
4893	7064
7045	7816
8664	8972
5998	8775
3904	9444
4893	5297
5078	6738
7316	7905
180	406
4204	9442
4108	7152
3562	4036
509	6817
6943	7821
3825	6975
4572	7826
701	8597
2992	4731
5953	9656
1554	5514
2940	3058
2792	6702
7448	8534
8531	9735
1762	2014
1456	6832
5332	7973
4788	9734
9216	9818
8532	9962
4447	7257
5610	8527
3962	7318
6973	8753
8667	9775
8472	8616
3439	6482
8887	9340
9488	9673
5169	8740
7133	9839
7124	9593
8335	9850
3015	8321
2546	4845
8150	8219
2095	7883
38	5968
5943	6307
3309	3978
5680	7558
3460	5518
7179	9169
1354	5214
4859	7153
3609	4479
7880	8655
2982	4479
6873	9255
4300	6038
5276	9254
6647	7155
8496	8728
6675	7458
779	3879
5280	6106
9978	9978
5227	6847
730	4675
1783	2240
1226	4521
743	7038
2780	4790
4415	6244
8633	9853
9668	9923
36	4868
8795	9252
3345	6252
2328	3623
9027	9249
6637	7046
4060	8341
8055	8998
1161	7025
5453	9931
7945	9246
6006	7162
6851	6986
1942	6632
902	6920
3058	3887
7655	8309
8623	8651
4184	8296
2933	7258
7987	8086
721	3777
3194	5164
6610	9446
4958	9896
4345	6024
6868	9350
9781	9803
3752	9356
4662	9161
3259	8733
2339	5457
7825	8010
7300	8710
5134	9777
2443	8644
4340	9253
6883	9198
2747	4615
8074	9660
3385	4172
7872	9788
1682	8684
9546	9662
7931	8791
6995	9180
3412	3688
7609	8428
1282	6037
7039	8964
5791	9093
798	7239
1662	5111
3055	6848
2354	6767
5956	6259
515	7407
8134	8397
9724	9768
599	9338
3358	5720
6836	8735
604	8450
9974	9980
4127	6183
2755	6424
6804	9600
7847	9118
3246	7569
4549	7542
8914	9126
4836	8900
4944	6254
1707	3521
9506	9657
6108	7758
4801	9843
1381	7286
8430	8565
6935	7871
4657	6522
2822	9251
8908	9637
1369	4441
5008	6010
9815	9900
7447	9803
2640	6342
5851	5858
5725	8045
2271	8051
68	1329
7894	9089
8336	9284
2404	2985
6677	8863
6989	9745
4373	7004
7208	8173
1672	4388
5554	6296
6383	8913
4026	6549
4926	8422
2483	9965
299	6084
5291	5777
8734	9567
577	3235
8996	9874
6442	8515
6124	8962
6779	9350
303	1524
5259	6819
8907	9845
5526	8558
8012	9376
6563	7788
4594	7906
4887	6427
284	8650
1620	2430
437	2243
5871	7926
7093	9420
3475	4652
4561	7995
5356	7112
2981	9626
4283	8522
2450	7365
6394	7770
5359	6759
323	8019
7100	9947
5915	9028
63	3011
7241	8939
2688	6187
7986	8254
6220	8255
5434	8177
9329	9510
7765	8454
1712	2098
9635	9745
8079	8213
9363	9509
1897	7909
7579	8083
981	3957
9575	9587
4988	5828
2169	6560
4803	9909
9601	9879
7048	9164
3141	5588
7776	8185
7183	9333
7538	7629
8659	9379
1553	3202
4619	5609
699	2493
6402	6759
9226	9722
7427	9300
2560	2791
9501	9727
5109	8662
8639	9356
831	5891
2191	9590
9419	9848
7572	8313
5578	7338
3677	9508
2208	8891
7306	7593
2436	9318
3017	5108
3582	5515
9937	9965
7908	9864
800	3017
9477	9702
3060	8966
4464	8874
422	7770
6175	9368
3954	9171
5478	6618
2394	8765
7777	9675
7643	9302
2250	9777
9643	9820
1962	7924
8322	9388
206	5987
2429	8431
9885	9952
1785	9652
61	1728
5034	6571
526	5979
9066	9930
7867	8410
934	8703
5714	8516
7943	7957
8453	9323
972	5629
3159	4039
5530	9316
